age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,Interests,Looking for,Language
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,<=50K,music,forum,Spanish
36,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,coding,market place,Tamil
34,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,football,advice,Somali
50,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K,art,forum,Ukranian
42,Private,Some-college,Separated,Other-service,Unmarried,Black,Female,0,0,20,*,<=50K,tours,advice,Bengali
30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,88,United-States,<=50K,tours,meet people,Dari
34,Private,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,65,United-States,<=50K,food,advice,Arabics
43,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,50,United-States,<=50K,food,things to do,Tamil
39,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,4389,0,50,United-States,>50K,football,forum,Dari
32,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K,community,market place,Bari
17,Private,*,Never-married,Other-service,Other-relative,White,Male,0,0,40,*,<=50K,football,things to do,Russian
41,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,2325,40,United-States,<=50K,community,things to do,Belarussian
50,Self-emp-not-inc,Bachelors,Separated,Tech-support,Wife,White,Female,0,0,50,nan,>50K,coding,things to do,English
42,Private,Some-college,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,>50K,tours,meet people,Tamil
35,Local-gov,HS-grad,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,basketball,hangouts,Pashto
55,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,>50K,food,forum,Belarussian
59,Private,Some-college,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,35,*,<=50K,football,hangouts,Hindi
50,Private,*,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,tours,forum,Russian
39,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,food,things to do,Arabics
58,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K,coding,hangouts,Bengali
25,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,food,hangouts,Russian
43,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,literature,advice,Tamil
20,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K,literature,meet people,Belarussian
57,Local-gov,Masters,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,15,United-States,>50K,football,market place,Bari
19,nan,Some-college,Never-married,nan,Own-child,White,Female,0,0,40,nan,<=50K,literature,market place,Arabics
26,Private,HS-grad,*,Adm-clerical,Wife,Black,Female,0,1889,40,United-States,>50K,coding,things to do,Pashto
42,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K,music,things to do,Bengali
27,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,2847,0,45,United-States,<=50K,art,hangouts,Ukranian
65,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K,community,market place,Hindi
31,Private,HS-grad,Separated,Exec-managerial,Other-relative,White,Male,0,1994,60,United-States,<=50K,food,forum,Hindi
41,Private,Masters,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,38,United-States,>50K,coding,things to do,Belarussian
51,Federal-gov,*,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,United-States,<=50K,basketball,advice,Spanish
52,Local-gov,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,food,forum,Russian
35,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,games,hangouts,Russian
47,Federal-gov,Some-college,Separated,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,>50K,coding,market place,Arabics
39,Private,HS-grad,Never-married,Craft-repair,Husband,White,Male,0,2253,42,United-States,>50K,art,hangouts,Hindi
18,nan,Some-college,Never-married,nan,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,literature,things to do,Belarussian
36,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,United-States,>50K,food,market place,Tamil
20,nan,Some-college,Never-married,nan,Own-child,White,Male,0,0,20,United-States,<=50K,cooking,advice,Somali
31,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,community,forum,Tamil
35,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,35,United-States,<=50K,cooking,advice,Bengali
33,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,food,advice,Somali
37,Private,HS-grad,Widowed,Other-service,Unmarried,Black,Female,0,0,25,United-States,<=50K,food,advice,Arabics
33,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,<=50K,pets,hangouts,Arabics
38,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,*,<=50K,cooking,market place,Pashto
32,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,pets,hangouts,Belarussian
36,Federal-gov,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,6726,0,54,United-States,<=50K,music,hangouts,Bari
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,3370,0,60,United-States,>50K,languages,meet people,Belarussian
45,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,music,meet people,Bengali
24,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,45,United-States,<=50K,music,things to do,Dari
73,State-gov,*,Widowed,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,art,things to do,Hindi
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,languages,advice,Pashto
47,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60,United-States,>50K,tours,things to do,Arabics
54,Local-gov,Masters,Widowed,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,*,<=50K,languages,market place,Spanish
60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K,community,market place,Dari
22,Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K,food,forum,Tamil
28,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K,basketball,forum,Bengali
34,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,literature,advice,Pashto
60,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K,art,things to do,Belarussian
48,Private,*,Widowed,Other-service,Unmarried,White,Female,0,0,40,*,<=50K,food,meet people,Somali
54,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K,music,market place,Dari
64,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,music,hangouts,Spanish
19,Private,HS-grad,*,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K,coding,forum,Somali
22,Private,11th,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K,pets,meet people,Bengali
22,nan,Some-college,Never-married,nan,Own-child,White,Female,0,0,40,Mexico,<=50K,basketball,forum,Hindi
31,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,70,United-States,>50K,community,things to do,Ukranian
38,nan,HS-grad,Married-civ-spouse,nan,Husband,White,Male,0,0,24,United-States,<=50K,pets,advice,Tamil
66,nan,HS-grad,Never-married,nan,Husband,Black,Male,0,0,31,United-States,<=50K,tours,things to do,Pashto
23,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K,literature,meet people,Somali
18,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,1837,20,United-States,<=50K,food,things to do,Pashto
56,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,games,meet people,Pashto
52,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,art,things to do,English
25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,<=50K,football,hangouts,Spanish
39,nan,Some-college,Never-married,nan,Own-child,White,Male,0,0,15,United-States,<=50K,literature,things to do,Dari
42,Self-emp-not-inc,*,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,community,market place,Belarussian
26,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,basketball,meet people,Somali
25,Local-gov,Bachelors,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,cooking,market place,Pashto
41,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,music,meet people,Hindi
20,Private,Bachelors,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K,basketball,forum,Spanish
54,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,pets,hangouts,Arabics
49,nan,HS-grad,Married-civ-spouse,Protective-serv,Husband,*,Male,0,0,40,United-States,<=50K,community,market place,Pashto
44,Private,Assoc-voc,Separated,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K,art,forum,Hindi
64,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,35,United-States,>50K,literature,meet people,Bengali
23,Private,Some-college,Separated,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,community,forum,Dari
27,Private,Bachelors,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K,languages,market place,English
38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,*,<=50K,music,market place,Ukranian
33,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K,football,meet people,Arabics
43,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K,games,meet people,Tamil
28,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,tours,things to do,Somali
35,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,0,0,60,United-States,<=50K,tours,market place,Bengali
22,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,games,forum,Bengali
29,Local-gov,Some-college,Divorced,nan,Unmarried,White,Female,0,0,8,United-States,<=50K,food,hangouts,Hindi
41,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,*,Male,15024,0,99,United-States,>50K,basketball,things to do,Ukranian
73,Local-gov,*,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,20,United-States,<=50K,art,hangouts,Tamil
39,Private,Bachelors,Divorced,Adm-clerical,Unmarried,*,Female,0,0,35,United-States,<=50K,basketball,market place,Arabics
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1977,52,United-States,>50K,art,market place,Arabics
19,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,*,<=50K,food,things to do,Somali
39,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K,food,things to do,Hindi
28,Private,HS-grad,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,35,United-States,<=50K,pets,hangouts,Belarussian
17,Private,Some-college,Never-married,Other-service,Own-child,*,Female,0,0,18,United-States,<=50K,cooking,market place,Bari
25,Private,Bachelors,Never-married,Sales,Not-in-family,*,Female,0,0,40,United-States,<=50K,games,meet people,Bari
44,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,80,*,>50K,community,meet people,Tamil
37,Private,Bachelors,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,community,hangouts,Tamil
28,Private,Some-college,Separated,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,coding,advice,Russian
40,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K,art,meet people,Somali
57,Self-emp-not-inc,HS-grad,Separated,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,<=50K,basketball,hangouts,Ukranian
19,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Mexico,<=50K,football,market place,Arabics
53,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K,tours,advice,Somali
57,nan,Some-college,Divorced,nan,Not-in-family,White,Female,0,0,40,United-States,<=50K,languages,hangouts,Ukranian
35,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,>50K,languages,hangouts,English
52,Federal-gov,Masters,Never-married,Transport-moving,Not-in-family,White,Male,0,0,70,United-States,>50K,music,market place,Tamil
48,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,*,>50K,music,market place,Tamil
33,Private,*,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K,community,market place,Spanish
49,Local-gov,Assoc-acdm,Divorced,Adm-clerical,Not-in-family,*,Female,0,0,30,United-States,<=50K,food,meet people,Dari
31,Federal-gov,HS-grad,Never-married,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,literature,meet people,Pashto
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,*,<=50K,tours,meet people,Pashto
27,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,*,<=50K,tours,forum,Belarussian
26,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,nan,<=50K,coding,forum,Tamil
47,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K,basketball,meet people,Russian
26,Private,Assoc-acdm,Never-married,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K,tours,things to do,Spanish
35,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K,games,meet people,Tamil
62,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,12,United-States,<=50K,art,meet people,Spanish
61,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,community,forum,Somali
59,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Male,3339,0,44,United-States,<=50K,languages,market place,Dari
